"location_state","events","total_costs","cost_per_event"
"CA",5,83651,16730
"OR",7,115360,16480
"TX",14,268441,19174
"NV",6,41921,6987
"OH",11,109056,9914
"NY",7,111711,15959
"IN",6,78273,13045
"NE",8,128555,16069
"FL",6,102655,17109
"MO",8,130034,16254
"WI",4,45188,11297
"NC",9,140866,15652
"OK",4,118737,29684
"GA",8,129547,16193
"MN",5,73404,14681
"PA",10,186320,18632
"IL",6,90884,15147
"TN",18,228296,12683
"MI",6,132429,22072
"WA",3,38114,12705
"UT",6,133027,22171
"CO",7,120164,17166
"AZ",6,46540,7757
