"maintenance_id","event","total_cost","service","labor_hours"
"MAINT00000001","Inspection",791.83,"Emergency Inspection",7.8
"MAINT00000002","Tire",3288.07,"Scheduled Tire",0.9
"MAINT00000003","Preventive",2303.75,"Routine Preventive",7.2
"MAINT00000004","Inspection",366.28,"Emergency Inspection",2.8
"MAINT00000005","Repair",1391.67,"Emergency Repair",4.6
"MAINT00000006","Preventive",3527.66,"Scheduled Preventive",5.0
"MAINT00000007","Repair",1182.28,"Emergency Repair",0.9
"MAINT00000008","Tire",2269.04,"Scheduled Tire",7.1
"MAINT00000009","Inspection",514.72,"Routine Inspection",4.0
"MAINT00000010","Inspection",88.77,"Emergency Inspection",0.6
"MAINT00000011","Preventive",2730.61,"Emergency Preventive",2.2
"MAINT00000012","Tire",3672.79,"Scheduled Tire",6.9
"MAINT00000013","Preventive",3507.94,"Scheduled Preventive",3.4
"MAINT00000014","Transmission",1146.50,"Routine Transmission",0.8
"MAINT00000015","Brake",1743.18,"Routine Brake",4.5
"MAINT00000016","Transmission",2118.72,"Scheduled Transmission",5.0
"MAINT00000017","Repair",2139.83,"Emergency Repair",3.3
"MAINT00000018","Transmission",3506.22,"Scheduled Transmission",2.3
"MAINT00000019","Brake",2859.81,"Scheduled Brake",7.1
"MAINT00000020","Transmission",136.46,"Emergency Transmission",0.7
"MAINT00000021","Brake",1046.43,"Emergency Brake",6.6
"MAINT00000022","Brake",947.99,"Emergency Brake",4.8
"MAINT00000023","Repair",1668.60,"Routine Repair",7.3
"MAINT00000024","Preventive",2923.41,"Routine Preventive",4.3
"MAINT00000025","Brake",1355.07,"Emergency Brake",4.1
"MAINT00000026","Tire",3000.23,"Scheduled Tire",5.3
"MAINT00000027","Transmission",2666.62,"Emergency Transmission",1.4
"MAINT00000028","Brake",1456.68,"Emergency Brake",4.5
"MAINT00000029","Tire",2107.22,"Emergency Tire",1.3
"MAINT00000030","Repair",2421.32,"Scheduled Repair",0.7
"MAINT00000031","Preventive",3617.85,"Emergency Preventive",3.5
"MAINT00000032","Preventive",1806.93,"Routine Preventive",2.9
"MAINT00000033","Engine",1072.05,"Emergency Engine",3.6
"MAINT00000034","Repair",1102.93,"Emergency Repair",0.9
"MAINT00000035","Preventive",2390.10,"Scheduled Preventive",4.5
"MAINT00000036","Engine",2224.41,"Routine Engine",1.5
"MAINT00000037","Inspection",134.71,"Scheduled Inspection",1.1
"MAINT00000038","Repair",1922.84,"Scheduled Repair",2.7
"MAINT00000039","Engine",2470.18,"Routine Engine",7.8
"MAINT00000040","Transmission",3778.69,"Routine Transmission",8.0
"MAINT00000041","Tire",835.86,"Emergency Tire",5.9
"MAINT00000042","Inspection",475.24,"Routine Inspection",2.8
"MAINT00000043","Preventive",3553.61,"Routine Preventive",0.8
"MAINT00000044","Engine",1445.54,"Routine Engine",4.2
"MAINT00000045","Engine",1931.64,"Routine Engine",3.7
"MAINT00000046","Preventive",2666.89,"Emergency Preventive",1.5
"MAINT00000047","Inspection",341.60,"Scheduled Inspection",1.8
"MAINT00000048","Inspection",192.13,"Scheduled Inspection",0.9
"MAINT00000049","Repair",2991.93,"Scheduled Repair",2.6
"MAINT00000050","Repair",2209.89,"Emergency Repair",2.8
"MAINT00000051","Tire",1629.16,"Emergency Tire",3.7
"MAINT00000052","Brake",3584.51,"Emergency Brake",4.7
"MAINT00000053","Repair",2927.82,"Routine Repair",5.6
"MAINT00000054","Repair",152.82,"Scheduled Repair",0.7
"MAINT00000055","Inspection",721.80,"Scheduled Inspection",6.0
"MAINT00000056","Tire",3733.04,"Scheduled Tire",5.8
"MAINT00000057","Transmission",1895.88,"Scheduled Transmission",2.0
"MAINT00000058","Inspection",617.32,"Scheduled Inspection",5.1
"MAINT00000059","Tire",2632.25,"Routine Tire",5.2
"MAINT00000060","Preventive",2144.58,"Emergency Preventive",7.4
"MAINT00000061","Inspection",768.01,"Routine Inspection",7.1
"MAINT00000062","Preventive",1851.89,"Routine Preventive",3.1
"MAINT00000063","Brake",2932.97,"Scheduled Brake",2.3
"MAINT00000064","Engine",1331.91,"Routine Engine",6.1
"MAINT00000065","Engine",2332.36,"Scheduled Engine",2.5
"MAINT00000066","Tire",3000.58,"Emergency Tire",2.3
"MAINT00000067","Brake",1348.94,"Scheduled Brake",6.6
"MAINT00000068","Tire",3318.78,"Scheduled Tire",1.2
"MAINT00000069","Engine",2047.03,"Emergency Engine",1.9
"MAINT00000070","Engine",2662.69,"Scheduled Engine",5.6
"MAINT00000071","Engine",529.22,"Routine Engine",4.6
"MAINT00000072","Inspection",533.28,"Emergency Inspection",3.3
"MAINT00000073","Brake",2986.62,"Emergency Brake",6.5
"MAINT00000074","Brake",1796.76,"Scheduled Brake",3.1
"MAINT00000075","Engine",3314.00,"Routine Engine",7.1
"MAINT00000076","Tire",1594.40,"Routine Tire",7.6
"MAINT00000077","Engine",1415.01,"Scheduled Engine",4.9
"MAINT00000078","Engine",1865.50,"Scheduled Engine",4.1
"MAINT00000079","Brake",844.65,"Scheduled Brake",1.6
"MAINT00000080","Transmission",2531.27,"Emergency Transmission",1.2
"MAINT00000081","Brake",1748.73,"Routine Brake",2.5
"MAINT00000082","Transmission",2842.28,"Emergency Transmission",4.3
"MAINT00000083","Transmission",3343.56,"Routine Transmission",5.6
"MAINT00000084","Brake",2336.21,"Scheduled Brake",3.7
